"Source:","H:\MART\BSPD\BSPD_03\BSPD_03_0_02\BSPD-CV_3_0_02RC\BSPD-CV_3_0_03RC_B.sch"
"Date:","26/04/2022 4:30:23"
"Tool:","Eeschema (5.1.10)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","144"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C02, C03, C04, C05, C06, C07, C08, C32, C45, C81, C82, C83, C91, C92, C93, C95, ","16","100n","C_Small","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","Unpolarized capacitor, small symbol",""
"C11, C12, C84, ","3","10u","CP","Capacitor_SMD:CP_Elec_4x5.3","Polarized capacitor",""
"C31, ","1","330n","C","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","Unpolarized capacitor",""
"C94, ","1","220u","CP","Capacitor_SMD:CP_Elec_8x6.5","Polarized capacitor",""
"D11, D101, ","2","LED","LED","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","Light emitting diode",""
"D21, D22, D41, D42, D43, D44, D46, D47, D51, D52, D53, D54, D55, D56, ","14","DZen_2.2v","D_Zener_Small_ALT","Diode_THT:D_DO-34_SOD68_P2.54mm_Vertical_AnodeUp","Zener diode, small symbol, filled shape",""
"D81, D82, ","2","D_Sch","D_Schottky_Small","Diode_SMD:D_SOD-323F","Schottky diode, small symbol",""
"D91, D92, ","2","Diode","D_Schottky_Small","Diode_SMD:D_SOD-323F","Schottky diode, small symbol",""
"D102, ","1","SM4007","SM4007","Diode_SMD:D_SOD-323F","1000V 1A General Purpose Rectifier Diode, MELF",""
"F11, ","1","Polyfuse_","Polyfuse_Small","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Resettable fuse, polymeric positive temperature coefficient, small symbol",""
"FID1, FID2, FID3, ","3","Fiducial","Fiducial","Fiducial:Fiducial_0.5mm_Mask1.5mm","Fiducial Marker",""
"G2, ","1","LOGO","LOGO","MART:Logo_MART_40_40_2022","",""
"H1, H2, H3, H4, ","4","MountingHole","MountingHole","MountingHole:MountingHole_2.7mm_M2.5_DIN965_Pad","Mounting Hole without connection",""
"J1, J4, ","2","Conn_01x02","Conn_01x02_Female","Connector_Molex:Molex_Nano-Fit_105313-xx02_1x02_P2.50mm_Horizontal","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, J3, ","2","Conn_01x03","Conn_01x03_Female","Connector_Molex:Molex_Nano-Fit_105313-xx03_1x03_P2.50mm_Horizontal","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"JP21, JP61, JP102, ","3","J_NO","Jumper_NO_Small","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","Jumper, normally open, small symbol",""
"JP22, JP62, ","2","J_NC","Jumper_NC_Small","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","Jumper, normally closed, small symbol",""
"JP41, JP44, JP51, JP54, JP71, JP101, ","6","J_NC_","Jumper_NC_Small","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","Jumper, normally closed, small symbol",""
"JP42, JP43, JP52, JP53, JP72, ","5","J_NO_","Jumper_NO_Small","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","Jumper, normally open, small symbol",""
"K101, ","1","FINDER-40.51","FINDER-40.51","MART:Rele 12VDC 5A Pan","FINDER 40.51, Single Pole Relay, 5mm Pitch, 10A",""
"Q101, ","1","BC817","BC817","Package_TO_SOT_SMD:SOT-23","0.8A Ic, 45V Vce, NPN Transistor, SOT-23",""
"R8, R23, R24, R26, R27, R32, R42, R43, R44, R45, R46, R47, R48, R52, R53, R54, R55, R56, R57, R71, R72, R73, R74, R75, R76, R77, R78, R79, R81, R82, R84, R91, R92, R94, R710, R712, ","36","150k","R_Small","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor, small symbol",""
"R11, ","1","0.5","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R12, ","1","560","R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor",""
"R21, R22, ","2","2k2","R_Small","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor, small symbol",""
"R25, R28, R58, R711, ","4","0 Omh","R_Small","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor, small symbol",""
"R31, R33, ","2","20k","R_Small","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor, small symbol",""
"R41, R51, ","2","10Meg","R_Small","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor, small symbol",""
"R101, ","1","1.8k","R_Small","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor, small symbol",""
"R102, ","1","4k7","R_Small","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor, small symbol",""
"R103, ","1","47k","R_Small","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Resistor, small symbol",""
"S1, S2, S3, ","3","ScopePin","ScopePin","MART:ScopePin","",""
"U1, ","1","L7805","L7805","Package_TO_SOT_SMD:SOT-223","Positive 1.5A 35V Linear Regulator, Fixed Output 5V, TO-220/TO-263/TO-252",""
"U2, U6, ","2","LM324","LM324","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","Low-Power, Quad-Operational Amplifiers, DIP-14/SOIC-14/SSOP-14",""
"U3, U8, ","2","4071","4071","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","Quad Or 2 inputs",""
"U4, ","1","4081","4081","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","Quad And 2 inputs",""
"U5, ","1","4069","4069","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","Hex inverter",""
"U7, ","1","4013","4013","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","Dual D  FlipFlop, Set & reset",""
"U81, U91, ","2","LM555xM","LM555xM","Package_DIP:DIP-8_W7.62mm_Socket","Timer, 555 compatible, SOIC-8",""
"V0.5, ","1","47k","R_POT","MART:RPot_6.71x7.04mm","Potentiometer",""
"V4.5, ","1","47k","R_POT","MART:RPot_6.71x7.04mm","Potentiometer",""
"VApp1, ","1","47k","R_POT","Potentiometer_SMD:Potentiometer_Bourns_3214W_Vertical","Potentiometer",""
"VBrk1, ","1","47k","R_POT","Potentiometer_SMD:Potentiometer_Bourns_3214W_Vertical","Potentiometer",""
"VC1, ","1","47k","R_POT","MART:RPot_6.71x7.04mm","Potentiometer",""
"VT1, VT2, ","2","47k","R_POT","MART:RPot_6.71x7.04mm","Potentiometer",""
